Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;
Relatorio Enc gerado em: ;06/03/2015 16:05:01
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;0;0;;
Timer Stopped:;00:12:41;
Timer Running:;00:00:20

Relatorio Enc gerado em: ;06/03/2015 16:20:39
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;0;0;;
Timer Stopped:;00:25:31;
Timer Running:;00:00:20

Relatorio Enc gerado em: ;06/03/2015 16:41:38
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;0;0;;
Timer Stopped:;00:39:37;
Timer Running:;00:00:20

Relatorio Enc gerado em: ;06/03/2015 16:45:58
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;500;500;;
Timer Stopped:;00:03:34;
Timer Running:;00:00:20

