Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;Pergunta;Resposta;OS;;
Relatorio Enc gerado em: ;19/11/2014 14:18:09
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;;;;

Relatorio Enc gerado em: ;19/11/2014 14:35:01
Existe vazamento de ar comprimido no carrossel?;NAO;;;A tesoura esta funcionando corretamente?;SIM;;;Esteira esta alinhada?;NAO;;;As duas video jet estao abastecidas?;SIM;
Existem alguma interferencia no giro do carrossel?;NAO;;;Houve alteracao nos parametros da maquina?;NAO;;;Existe ruido?;NAO;;;As duas video jets estao operacional?;SIM;
As garras estao funcionando corretamente?;SIM;;;Existe algum ruido na esteira de dobra do saco?;NAO;;;Velocidade esta compativel com maquia de costura;SIM;;;O equipamento reserva esta disponivel no setor?;SIM;
As balanças estao funcionando corretamente?;SIM;;;Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;Foi feito limpeza hoje na video jet?;NAO;
Deseja fazer alguma observacao geral?;NAO;;;Deseja fazer alguma observacao geral?;NAO;;;O peso foi verificado e esta dentro dos padroes?;SIM;;;;;

